5L profile	Denmark	France	Germany	Japan	Netherlands	Spain	Thailand	UK	US	Zimbabwe
34234	0.423	0.115	0.450	0.505	0.316	0.267	0.252	0.250	0.461	0.508
34235	0.271	-0.010	0.292	0.480	0.123	0.113	0.158	0.062	0.362	0.444
34241	0.505	0.212	0.423	0.547	0.458	0.320	0.277	0.316	0.525	0.523
34242	0.451	0.141	0.423	0.497	0.359	0.271	0.251	0.259	0.466	0.486
34243	0.437	0.122	0.423	0.484	0.334	0.258	0.245	0.245	0.451	0.477
34244	0.290	0.027	0.319	0.460	0.183	0.153	0.175	0.104	0.373	0.415
34245	0.138	-0.071	0.211	0.435	0.026	0.044	0.104	-0.043	0.291	0.350
34251	0.304	0.041	0.154	0.478	0.205	0.085	0.131	0.035	0.352	0.382
34252	0.250	-0.030	0.154	0.428	0.107	0.035	0.106	-0.021	0.304	0.345
34253	0.236	-0.049	0.154	0.415	0.081	0.023	0.099	-0.036	0.292	0.336
34254	0.089	-0.105	0.122	0.391	-0.017	-0.018	0.061	-0.117	0.240	0.273
34255	-0.063	-0.163	0.089	0.366	-0.120	-0.060	0.021	-0.201	0.186	0.209
34311	0.691	0.407	0.713	0.663	0.705	0.552	0.434	0.618	0.711	0.675
34312	0.637	0.336	0.713	0.613	0.607	0.503	0.408	0.562	0.660	0.639
34313	0.623	0.317	0.713	0.600	0.581	0.490	0.402	0.547	0.646	0.629
34314	0.476	0.196	0.562	0.576	0.396	0.341	0.312	0.366	0.542	0.567
34315	0.324	0.071	0.404	0.551	0.203	0.188	0.219	0.178	0.434	0.502
34321	0.641	0.317	0.624	0.599	0.636	0.480	0.376	0.519	0.646	0.622
34322	0.587	0.246	0.624	0.549	0.538	0.431	0.351	0.463	0.581	0.585
34323	0.573	0.227	0.624	0.536	0.512	0.418	0.344	0.448	0.564	0.576
34324	0.426	0.107	0.472	0.512	0.327	0.270	0.254	0.268	0.468	0.513
34325	0.274	-0.018	0.314	0.487	0.134	0.116	0.161	0.080	0.369	0.449
34331	0.629	0.295	0.601	0.583	0.619	0.463	0.362	0.495	0.630	0.608
34332	0.575	0.224	0.601	0.533	0.521	0.414	0.336	0.439	0.561	0.572
34333	0.561	0.205	0.601	0.520	0.495	0.401	0.330	0.424	0.543	0.562
34334	0.414	0.084	0.450	0.496	0.310	0.252	0.240	0.243	0.450	0.500
34335	0.262	-0.041	0.292	0.471	0.117	0.099	0.147	0.055	0.352	0.435
34341	0.495	0.181	0.423	0.538	0.451	0.306	0.265	0.309	0.517	0.514
