5L profile	Denmark	France	Germany	Japan	Netherlands	Spain	Thailand	UK	US	Zimbabwe
11111	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.900
11112	0.856	0.929	0.999	0.829	0.845	0.932	0.814	0.879	0.876	0.864
11113	0.818	0.910	0.999	0.785	0.805	0.914	0.766	0.848	0.844	0.854
11114	0.671	0.769	0.809	0.761	0.592	0.731	0.660	0.635	0.700	0.792
11115	0.519	0.622	0.611	0.736	0.370	0.541	0.549	0.414	0.550	0.727
11121	0.859	0.910	0.910	0.814	0.874	0.910	0.780	0.837	0.861	0.846
11122	0.787	0.839	0.909	0.740	0.765	0.857	0.723	0.768	0.820	0.810
11123	0.768	0.820	0.909	0.721	0.736	0.843	0.708	0.750	0.809	0.800
11124	0.622	0.679	0.719	0.697	0.523	0.660	0.602	0.537	0.669	0.738
11125	0.469	0.532	0.521	0.672	0.301	0.470	0.491	0.316	0.524	0.673
11131	0.824	0.888	0.887	0.768	0.843	0.887	0.726	0.796	0.827	0.833
11132	0.770	0.817	0.887	0.718	0.745	0.838	0.701	0.740	0.806	0.797
11133	0.756	0.798	0.887	0.705	0.719	0.825	0.694	0.725	0.800	0.787
11134	0.609	0.657	0.697	0.681	0.506	0.642	0.588	0.512	0.661	0.725
11135	0.457	0.510	0.499	0.656	0.284	0.452	0.477	0.291	0.517	0.660
11141	0.691	0.757	0.677	0.723	0.652	0.702	0.616	0.584	0.682	0.739
11142	0.637	0.686	0.677	0.673	0.554	0.653	0.590	0.527	0.663	0.703
11143	0.623	0.667	0.677	0.660	0.528	0.640	0.584	0.513	0.659	0.693
11144	0.476	0.560	0.550	0.635	0.361	0.514	0.505	0.352	0.544	0.631
11145	0.324	0.449	0.418	0.611	0.187	0.383	0.422	0.186	0.426	0.566
11151	0.490	0.561	0.361	0.654	0.366	0.424	0.450	0.264	0.463	0.598
11152	0.436	0.490	0.361	0.604	0.268	0.375	0.425	0.208	0.450	0.562
11153	0.422	0.471	0.361	0.591	0.242	0.362	0.418	0.193	0.446	0.552
11154	0.275	0.415	0.329	0.567	0.143	0.322	0.380	0.112	0.369	0.490
11155	0.123	0.357	0.296	0.542	0.041	0.280	0.340	0.028	0.289	0.425
11211	0.870	0.875	0.999	0.843	0.917	0.924	0.791	0.906	0.888	0.866
11212	0.798	0.803	0.999	0.769	0.808	0.871	0.734	0.837	0.846	0.829
11213	0.780	0.785	0.999	0.750	0.779	0.857	0.719	0.819	0.835	0.820
11214	0.633	0.644	0.809	0.726	0.566	0.674	0.612	0.606	0.695	0.757
11215	0.481	0.497	0.611	0.701	0.344	0.484	0.502	0.385	0.550	0.693
11221	0.802	0.785	0.909	0.755	0.837	0.849	0.701	0.795	0.832	0.812
11222	0.745	0.714	0.909	0.700	0.737	0.799	0.669	0.736	0.796	0.775
11223	0.730	0.695	0.909	0.686	0.710	0.786	0.661	0.721	0.786	0.766
11224	0.583	0.554	0.719	0.662	0.497	0.603	0.555	0.508	0.654	0.704
11225	0.431	0.407	0.521	0.637	0.275	0.413	0.444	0.287	0.517	0.639
11231	0.786	0.763	0.887	0.733	0.817	0.830	0.679	0.767	0.818	0.799
11232	0.732	0.691	0.887	0.683	0.719	0.781	0.653	0.711	0.783	0.762
11233	0.718	0.673	0.887	0.670	0.693	0.768	0.647	0.696	0.774	0.753
11234	0.571	0.532	0.697	0.646	0.480	0.585	0.540	0.483	0.644	0.690
11235	0.419	0.385	0.499	0.621	0.258	0.395	0.430	0.262	0.508	0.626
11241	0.652	0.632	0.677	0.687	0.627	0.645	0.568	0.555	0.676	0.705
11242	0.598	0.561	0.677	0.637	0.528	0.596	0.543	0.498	0.647	0.668
11243	0.584	0.542	0.677	0.624	0.503	0.583	0.536	0.484	0.640	0.659
11244	0.437	0.435	0.550	0.600	0.335	0.457	0.457	0.323	0.532	0.596
11245	0.285	0.324	0.418	0.575	0.161	0.326	0.375	0.157	0.421	0.532
11251	0.452	0.436	0.361	0.619	0.340	0.367	0.403	0.235	0.463	0.564
11252	0.398	0.364	0.361	0.569	0.242	0.318	0.377	0.179	0.443	0.527
11253	0.384	0.346	0.361	0.556	0.216	0.305	0.371	0.164	0.437	0.518
11254	0.237	0.290	0.329	0.532	0.118	0.265	0.332	0.083	0.365	0.455
11255	0.085	0.232	0.296	0.507	0.015	0.223	0.293	-0.001	0.289	0.391
11311	0.838	0.844	0.999	0.804	0.897	0.905	0.739	0.883	0.860	0.857
11312	0.784	0.773	0.999	0.754	0.799	0.856	0.714	0.827	0.839	0.821
11313	0.770	0.754	0.999	0.741	0.773	0.843	0.707	0.812	0.833	0.811
11314	0.623	0.613	0.809	0.717	0.560	0.660	0.601	0.599	0.694	0.749
11315	0.471	0.466	0.611	0.692	0.338	0.470	0.490	0.378	0.550	0.684
11321	0.788	0.754	0.909	0.740	0.828	0.834	0.681	0.785	0.825	0.803
11322	0.734	0.683	0.909	0.690	0.730	0.785	0.656	0.728	0.790	0.767
11323	0.720	0.664	0.909	0.677	0.704	0.772	0.649	0.714	0.781	0.757
11324	0.574	0.523	0.719	0.653	0.491	0.589	0.543	0.501	0.650	0.695
11325	0.421	0.376	0.521	0.628	0.269	0.399	0.432	0.280	0.515	0.630
11331	0.776	0.732	0.887	0.724	0.811	0.816	0.667	0.760	0.816	0.790
11332	0.722	0.661	0.887	0.674	0.713	0.767	0.642	0.704	0.778	0.754
11333	0.708	0.642	0.887	0.661	0.687	0.754	0.635	0.689	0.768	0.744
11334	0.561	0.501	0.697	0.637	0.474	0.571	0.529	0.476	0.639	0.682
11335	0.409	0.354	0.499	0.612	0.252	0.381	0.418	0.255	0.506	0.617
11341	0.643	0.601	0.677	0.679	0.620	0.631	0.557	0.548	0.675	0.696
11342	0.589	0.530	0.677	0.629	0.522	0.582	0.531	0.491	0.643	0.660
11343	0.575	0.511	0.677	0.616	0.496	0.569	0.525	0.477	0.635	0.650
11344	0.428	0.404	0.550	0.591	0.329	0.443	0.446	0.316	0.529	0.588
11345	0.276	0.293	0.418	0.567	0.155	0.312	0.363	0.150	0.419	0.523
11351	0.442	0.405	0.361	0.610	0.334	0.353	0.391	0.228	0.463	0.555
11352	0.388	0.334	0.361	0.560	0.236	0.304	0.366	0.172	0.441	0.519
11353	0.374	0.315	0.361	0.547	0.210	0.291	0.359	0.157	0.435	0.509
11354	0.227	0.259	0.329	0.523	0.111	0.251	0.321	0.076	0.363	0.447
11355	0.075	0.201	0.296	0.498	0.009	0.209	0.281	-0.008	0.289	0.382
11411	0.807	0.776	0.893	0.775	0.812	0.769	0.674	0.776	0.783	0.827
11412	0.753	0.705	0.893	0.725	0.714	0.720	0.649	0.719	0.764	0.790
11413	0.739	0.686	0.893	0.712	0.688	0.707	0.642	0.705	0.759	0.781
11414	0.592	0.573	0.755	0.688	0.512	0.571	0.558	0.535	0.641	0.719
11415	0.440	0.455	0.611	0.663	0.330	0.429	0.471	0.359	0.518	0.654
11421	0.757	0.686	0.803	0.711	0.743	0.697	0.616	0.677	0.751	0.773
11422	0.703	0.615	0.803	0.661	0.645	0.648	0.591	0.621	0.721	0.737
11423	0.689	0.596	0.803	0.648	0.619	0.635	0.584	0.606	0.713	0.727
11424	0.542	0.483	0.665	0.624	0.443	0.499	0.500	0.437	0.601	0.665
11425	0.390	0.365	0.521	0.599	0.261	0.358	0.413	0.260	0.485	0.600
11431	0.745	0.664	0.781	0.695	0.726	0.680	0.602	0.653	0.742	0.760
11432	0.691	0.593	0.781	0.645	0.628	0.631	0.577	0.596	0.710	0.723
11433	0.677	0.574	0.781	0.632	0.602	0.618	0.570	0.582	0.701	0.714
11434	0.530	0.461	0.643	0.608	0.426	0.482	0.486	0.412	0.591	0.652
11435	0.378	0.343	0.499	0.583	0.244	0.340	0.399	0.236	0.477	0.587
11441	0.611	0.556	0.613	0.649	0.566	0.533	0.510	0.475	0.618	0.666
11442	0.557	0.485	0.613	0.599	0.468	0.484	0.485	0.419	0.591	0.629
11443	0.543	0.466	0.613	0.586	0.442	0.471	0.478	0.404	0.584	0.620
11444	0.396	0.376	0.517	0.562	0.297	0.373	0.412	0.270	0.490	0.558
11445	0.244	0.282	0.418	0.537	0.147	0.272	0.344	0.131	0.393	0.493
11451	0.411	0.394	0.361	0.581	0.326	0.312	0.372	0.209	0.431	0.525
11452	0.357	0.323	0.361	0.531	0.227	0.263	0.346	0.153	0.412	0.488
11453	0.343	0.304	0.361	0.518	0.202	0.250	0.340	0.138	0.406	0.479
11454	0.196	0.248	0.329	0.494	0.103	0.210	0.301	0.057	0.338	0.417
11455	0.044	0.190	0.296	0.469	0.001	0.168	0.262	-0.027	0.266	0.352
11511	0.742	0.637	0.676	0.715	0.638	0.490	0.541	0.556	0.626	0.765
11512	0.688	0.566	0.676	0.665	0.540	0.441	0.516	0.500	0.613	0.729
11513	0.674	0.547	0.676	0.652	0.514	0.428	0.509	0.485	0.609	0.719
11514	0.527	0.491	0.644	0.628	0.415	0.388	0.471	0.404	0.532	0.657
11515	0.375	0.433	0.611	0.603	0.313	0.346	0.431	0.320	0.452	0.592
11521	0.692	0.547	0.586	0.651	0.569	0.419	0.483	0.458	0.599	0.711
11522	0.638	0.476	0.586	0.601	0.471	0.370	0.458	0.401	0.579	0.675
11523	0.624	0.457	0.586	0.588	0.445	0.357	0.451	0.387	0.574	0.665
11524	0.478	0.401	0.554	0.564	0.347	0.317	0.413	0.306	0.501	0.603
11525	0.325	0.343	0.521	0.539	0.244	0.275	0.373	0.222	0.425	0.538
11531	0.680	0.525	0.564	0.635	0.552	0.401	0.469	0.433	0.592	0.698
11532	0.626	0.454	0.564	0.585	0.454	0.352	0.444	0.377	0.571	0.662
11533	0.612	0.435	0.564	0.572	0.428	0.339	0.437	0.362	0.565	0.652
11534	0.465	0.379	0.532	0.548	0.329	0.299	0.399	0.281	0.493	0.590
11535	0.313	0.321	0.499	0.523	0.227	0.257	0.359	0.197	0.418	0.525
11541	0.547	0.464	0.483	0.590	0.455	0.332	0.414	0.328	0.501	0.604
11542	0.493	0.392	0.483	0.540	0.357	0.283	0.389	0.272	0.483	0.568
11543	0.479	0.374	0.483	0.527	0.331	0.270	0.382	0.257	0.478	0.558
11544	0.332	0.318	0.451	0.502	0.232	0.230	0.344	0.176	0.410	0.496
11545	0.180	0.260	0.418	0.478	0.130	0.188	0.304	0.092	0.339	0.431
11551	0.346	0.372	0.361	0.521	0.309	0.229	0.332	0.170	0.365	0.463
11552	0.292	0.301	0.361	0.471	0.211	0.180	0.307	0.114	0.352	0.427
11553	0.278	0.282	0.361	0.458	0.185	0.167	0.300	0.099	0.348	0.417
11554	0.131	0.226	0.329	0.434	0.086	0.127	0.262	0.018	0.285	0.355
11555	-0.021	0.168	0.296	0.409	-0.016	0.085	0.222	-0.066	0.220	0.290
12111	0.853	0.823	0.927	0.829	0.873	0.868	0.731	0.846	0.854	0.823
12112	0.784	0.752	0.927	0.758	0.765	0.816	0.679	0.779	0.815	0.787
12113	0.766	0.733	0.927	0.740	0.737	0.802	0.665	0.761	0.805	0.777
12114	0.619	0.592	0.736	0.716	0.523	0.619	0.559	0.548	0.665	0.715
12115	0.467	0.445	0.539	0.691	0.302	0.429	0.448	0.327	0.520	0.650
12121	0.788	0.734	0.837	0.744	0.794	0.794	0.646	0.737	0.802	0.770
12122	0.731	0.662	0.837	0.690	0.694	0.744	0.616	0.678	0.765	0.733
12123	0.716	0.644	0.837	0.676	0.668	0.731	0.608	0.663	0.756	0.724
12124	0.569	0.502	0.646	0.652	0.454	0.548	0.501	0.450	0.623	0.661
12125	0.417	0.356	0.449	0.627	0.233	0.358	0.391	0.229	0.486	0.597
12131	0.772	0.711	0.815	0.723	0.775	0.775	0.625	0.709	0.789	0.756
12132	0.718	0.640	0.815	0.673	0.676	0.726	0.600	0.653	0.753	0.720
12133	0.704	0.621	0.815	0.660	0.651	0.713	0.593	0.638	0.743	0.710
12134	0.557	0.480	0.624	0.636	0.437	0.530	0.487	0.425	0.613	0.648
12135	0.405	0.333	0.427	0.611	0.216	0.340	0.376	0.204	0.478	0.583
12141	0.638	0.581	0.604	0.678	0.584	0.591	0.515	0.497	0.647	0.663
12142	0.584	0.509	0.604	0.628	0.486	0.541	0.490	0.441	0.617	0.626
12143	0.570	0.491	0.604	0.615	0.460	0.529	0.483	0.426	0.609	0.617
12144	0.423	0.384	0.477	0.591	0.293	0.403	0.404	0.266	0.502	0.554
12145	0.271	0.272	0.346	0.566	0.119	0.272	0.322	0.099	0.390	0.490
12151	0.438	0.384	0.289	0.609	0.298	0.312	0.349	0.177	0.433	0.521
12152	0.384	0.313	0.289	0.559	0.199	0.263	0.324	0.121	0.413	0.485
12153	0.370	0.294	0.289	0.546	0.174	0.250	0.317	0.106	0.408	0.475
12154	0.223	0.239	0.257	0.522	0.075	0.210	0.279	0.025	0.335	0.413
12155	0.071	0.180	0.224	0.497	-0.027	0.168	0.239	-0.059	0.259	0.348
12211	0.799	0.698	0.927	0.773	0.837	0.808	0.657	0.806	0.828	0.789
12212	0.742	0.627	0.927	0.719	0.737	0.758	0.626	0.748	0.792	0.752
12213	0.727	0.608	0.927	0.705	0.711	0.746	0.618	0.733	0.782	0.743
12214	0.580	0.467	0.736	0.681	0.498	0.562	0.511	0.520	0.650	0.681
12215	0.428	0.320	0.539	0.656	0.276	0.373	0.401	0.299	0.513	0.616
12221	0.746	0.609	0.837	0.705	0.767	0.736	0.594	0.706	0.778	0.735
12222	0.692	0.537	0.837	0.654	0.668	0.687	0.567	0.649	0.731	0.699
12223	0.677	0.519	0.837	0.641	0.642	0.674	0.560	0.634	0.719	0.689
12224	0.531	0.377	0.646	0.617	0.429	0.491	0.454	0.421	0.595	0.627
12225	0.378	0.231	0.449	0.592	0.207	0.301	0.343	0.200	0.467	0.562
12231	0.733	0.586	0.815	0.688	0.749	0.719	0.578	0.681	0.765	0.722
12232	0.679	0.515	0.815	0.638	0.651	0.669	0.553	0.624	0.716	0.685
12233	0.665	0.496	0.815	0.625	0.625	0.657	0.546	0.610	0.703	0.676
12234	0.518	0.355	0.624	0.601	0.412	0.473	0.439	0.397	0.581	0.614
12235	0.366	0.208	0.427	0.576	0.190	0.284	0.329	0.176	0.455	0.549
12241	0.600	0.456	0.604	0.642	0.559	0.534	0.468	0.468	0.630	0.628
12242	0.546	0.384	0.604	0.592	0.460	0.484	0.442	0.412	0.587	0.592
12243	0.532	0.366	0.604	0.579	0.435	0.472	0.436	0.397	0.576	0.582
12244	0.385	0.258	0.477	0.555	0.267	0.346	0.356	0.237	0.477	0.520
12245	0.233	0.147	0.346	0.530	0.093	0.215	0.274	0.071	0.374	0.455
12251	0.399	0.259	0.289	0.574	0.272	0.256	0.302	0.149	0.426	0.487
12252	0.345	0.188	0.289	0.524	0.174	0.206	0.277	0.092	0.393	0.450
12253	0.331	0.169	0.289	0.511	0.148	0.194	0.270	0.078	0.385	0.441
12254	0.184	0.113	0.257	0.487	0.049	0.153	0.232	-0.003	0.320	0.379
12255	0.032	0.055	0.224	0.462	-0.053	0.112	0.192	-0.088	0.252	0.314
12311	0.786	0.667	0.927	0.759	0.829	0.793	0.638	0.796	0.822	0.780
12312	0.732	0.596	0.927	0.709	0.730	0.744	0.613	0.740	0.786	0.744
12313	0.718	0.577	0.927	0.696	0.705	0.731	0.606	0.725	0.776	0.734
12314	0.571	0.436	0.736	0.672	0.491	0.548	0.500	0.512	0.646	0.672
12315	0.419	0.289	0.539	0.647	0.270	0.358	0.389	0.291	0.511	0.607
12321	0.736	0.578	0.837	0.695	0.760	0.722	0.581	0.698	0.772	0.727
12322	0.682	0.506	0.837	0.645	0.661	0.673	0.555	0.642	0.723	0.690
12323	0.668	0.488	0.837	0.632	0.636	0.660	0.549	0.627	0.710	0.681
12324	0.521	0.346	0.646	0.608	0.422	0.477	0.442	0.414	0.588	0.618
12325	0.369	0.200	0.449	0.583	0.201	0.287	0.332	0.193	0.462	0.554
12331	0.724	0.555	0.815	0.679	0.743	0.704	0.566	0.673	0.759	0.713
12332	0.670	0.484	0.815	0.629	0.644	0.655	0.541	0.617	0.707	0.677
12333	0.656	0.465	0.815	0.616	0.619	0.642	0.534	0.602	0.693	0.667
12334	0.509	0.324	0.624	0.592	0.405	0.459	0.428	0.389	0.574	0.605
12335	0.357	0.177	0.427	0.567	0.184	0.269	0.317	0.168	0.449	0.540
12341	0.590	0.425	0.604	0.634	0.552	0.520	0.456	0.461	0.625	0.620
12342	0.536	0.353	0.604	0.584	0.454	0.470	0.431	0.405	0.580	0.583
12343	0.522	0.335	0.604	0.571	0.428	0.458	0.424	0.390	0.568	0.574
12344	0.375	0.228	0.477	0.547	0.261	0.332	0.345	0.230	0.471	0.511
12345	0.223	0.116	0.346	0.522	0.087	0.201	0.263	0.063	0.370	0.447
12351	0.390	0.228	0.289	0.565	0.266	0.241	0.290	0.141	0.424	0.478
12352	0.336	0.157	0.289	0.515	0.167	0.192	0.265	0.085	0.388	0.442
12353	0.322	0.138	0.289	0.502	0.142	0.179	0.258	0.070	0.379	0.432
12354	0.175	0.083	0.257	0.478	0.043	0.139	0.220	-0.011	0.316	0.370
12355	0.023	0.024	0.224	0.453	-0.059	0.097	0.180	-0.095	0.250	0.305
12411	0.754	0.599	0.821	0.730	0.744	0.657	0.573	0.689	0.748	0.750
12412	0.700	0.528	0.821	0.680	0.645	0.608	0.548	0.633	0.717	0.714
12413	0.686	0.509	0.821	0.667	0.620	0.595	0.541	0.618	0.709	0.704
12414	0.539	0.396	0.682	0.643	0.444	0.459	0.457	0.448	0.597	0.642
12415	0.387	0.279	0.539	0.618	0.262	0.318	0.370	0.272	0.482	0.577
12421	0.704	0.510	0.731	0.666	0.675	0.586	0.516	0.591	0.703	0.697
12422	0.650	0.438	0.731	0.616	0.576	0.537	0.490	0.534	0.659	0.660
12423	0.636	0.420	0.731	0.603	0.551	0.524	0.484	0.520	0.648	0.651
12424	0.490	0.306	0.592	0.579	0.375	0.388	0.399	0.350	0.545	0.588
12425	0.337	0.189	0.449	0.554	0.193	0.246	0.312	0.174	0.438	0.524
12431	0.692	0.487	0.709	0.650	0.658	0.568	0.501	0.566	0.692	0.683
12432	0.638	0.416	0.709	0.600	0.559	0.519	0.476	0.510	0.645	0.647
12433	0.624	0.397	0.709	0.587	0.534	0.506	0.469	0.495	0.632	0.637
12434	0.477	0.284	0.570	0.563	0.358	0.370	0.385	0.325	0.531	0.575
12435	0.325	0.167	0.427	0.538	0.176	0.229	0.298	0.149	0.427	0.510
12441	0.559	0.380	0.541	0.604	0.498	0.421	0.409	0.389	0.573	0.589
12442	0.505	0.308	0.541	0.554	0.399	0.372	0.384	0.332	0.533	0.553
12443	0.491	0.290	0.541	0.541	0.374	0.359	0.377	0.318	0.522	0.543
12444	0.344	0.199	0.445	0.517	0.229	0.262	0.311	0.184	0.437	0.481
12445	0.192	0.106	0.346	0.492	0.078	0.160	0.243	0.044	0.348	0.416
12451	0.358	0.218	0.289	0.536	0.258	0.201	0.271	0.122	0.395	0.448
12452	0.304	0.146	0.289	0.486	0.159	0.152	0.245	0.066	0.364	0.412
12453	0.290	0.128	0.289	0.473	0.134	0.139	0.239	0.051	0.356	0.402
12454	0.143	0.072	0.257	0.449	0.035	0.099	0.201	-0.030	0.295	0.340
12455	-0.009	0.014	0.224	0.424	-0.068	0.057	0.161	-0.114	0.230	0.275
12511	0.690	0.460	0.604	0.670	0.570	0.378	0.440	0.469	0.596	0.688
12512	0.636	0.389	0.604	0.620	0.471	0.329	0.415	0.413	0.576	0.652
12513	0.622	0.370	0.604	0.607	0.446	0.316	0.408	0.398	0.571	0.642
12514	0.475	0.315	0.572	0.583	0.347	0.276	0.370	0.317	0.498	0.580
12515	0.323	0.256	0.539	0.558	0.245	0.234	0.330	0.233	0.422	0.515
12521	0.640	0.371	0.514	0.606	0.501	0.307	0.383	0.371	0.562	0.635
12522	0.586	0.299	0.514	0.556	0.402	0.258	0.357	0.315	0.529	0.598
12523	0.572	0.281	0.514	0.543	0.377	0.245	0.351	0.300	0.521	0.589
12524	0.425	0.225	0.482	0.519	0.278	0.205	0.312	0.219	0.456	0.526
12525	0.273	0.167	0.449	0.494	0.176	0.163	0.273	0.135	0.388	0.462
12531	0.628	0.348	0.492	0.590	0.484	0.289	0.368	0.346	0.554	0.621
12532	0.574	0.277	0.492	0.540	0.385	0.240	0.343	0.290	0.518	0.585
12533	0.560	0.258	0.492	0.527	0.360	0.227	0.336	0.275	0.508	0.575
12534	0.413	0.203	0.460	0.503	0.261	0.187	0.298	0.194	0.445	0.513
12535	0.261	0.144	0.427	0.478	0.159	0.145	0.258	0.110	0.380	0.448
12541	0.494	0.287	0.411	0.545	0.387	0.221	0.314	0.241	0.466	0.528
12542	0.440	0.216	0.411	0.495	0.288	0.172	0.288	0.185	0.437	0.491
12543	0.426	0.197	0.411	0.482	0.263	0.159	0.282	0.170	0.429	0.482
12544	0.279	0.141	0.379	0.458	0.164	0.119	0.243	0.089	0.368	0.419
12545	0.127	0.083	0.346	0.433	0.062	0.077	0.204	0.005	0.304	0.355
12551	0.294	0.195	0.289	0.476	0.241	0.117	0.231	0.083	0.335	0.386
12552	0.240	0.124	0.289	0.426	0.142	0.068	0.206	0.027	0.315	0.350
12553	0.226	0.105	0.289	0.413	0.117	0.055	0.199	0.012	0.310	0.340
12554	0.079	0.050	0.257	0.389	0.018	0.015	0.161	-0.069	0.251	0.278
12555	-0.074	-0.009	0.224	0.364	-0.084	-0.027	0.121	-0.153	0.190	0.213
13111	0.823	0.788	0.912	0.794	0.847	0.842	0.677	0.815	0.825	0.808
13112	0.769	0.717	0.912	0.744	0.749	0.793	0.652	0.759	0.803	0.772
13113	0.755	0.698	0.912	0.731	0.723	0.780	0.645	0.744	0.797	0.762
13114	0.608	0.557	0.722	0.707	0.510	0.597	0.539	0.531	0.658	0.700
13115	0.456	0.410	0.524	0.682	0.288	0.407	0.428	0.310	0.514	0.635
13121	0.773	0.698	0.822	0.730	0.778	0.771	0.619	0.717	0.790	0.754
13122	0.719	0.627	0.822	0.680	0.680	0.722	0.594	0.660	0.754	0.718
13123	0.705	0.608	0.822	0.667	0.654	0.709	0.587	0.646	0.745	0.708
13124	0.559	0.467	0.632	0.643	0.441	0.526	0.481	0.433	0.614	0.646
13125	0.406	0.320	0.434	0.618	0.219	0.336	0.370	0.212	0.479	0.581
13131	0.761	0.676	0.800	0.714	0.761	0.753	0.605	0.692	0.781	0.741
13132	0.707	0.605	0.800	0.664	0.663	0.704	0.580	0.636	0.742	0.705
13133	0.693	0.586	0.800	0.651	0.637	0.691	0.573	0.621	0.732	0.695
13134	0.546	0.445	0.610	0.627	0.424	0.508	0.467	0.408	0.603	0.633
13135	0.394	0.298	0.412	0.602	0.202	0.318	0.356	0.187	0.470	0.568
13141	0.628	0.545	0.590	0.669	0.570	0.568	0.495	0.480	0.640	0.647
13142	0.574	0.474	0.590	0.619	0.472	0.519	0.469	0.423	0.608	0.611
13143	0.560	0.455	0.590	0.606	0.446	0.506	0.463	0.409	0.599	0.601
13144	0.413	0.348	0.463	0.581	0.279	0.380	0.384	0.248	0.493	0.539
13145	0.261	0.237	0.331	0.557	0.105	0.249	0.301	0.082	0.383	0.474
13151	0.427	0.349	0.274	0.600	0.284	0.290	0.329	0.160	0.427	0.506
13152	0.373	0.278	0.274	0.550	0.186	0.241	0.304	0.104	0.406	0.470
13153	0.359	0.259	0.274	0.537	0.160	0.228	0.297	0.089	0.400	0.460
13154	0.212	0.203	0.242	0.513	0.061	0.188	0.259	0.008	0.328	0.398
13155	0.060	0.145	0.209	0.488	-0.041	0.146	0.219	-0.076	0.253	0.333
13211	0.785	0.663	0.912	0.759	0.821	0.785	0.630	0.786	0.816	0.774
13212	0.731	0.591	0.912	0.709	0.723	0.736	0.604	0.730	0.781	0.737
13213	0.717	0.573	0.912	0.696	0.697	0.723	0.598	0.715	0.771	0.728
13214	0.570	0.432	0.722	0.672	0.484	0.540	0.491	0.502	0.641	0.665
13215	0.418	0.285	0.524	0.647	0.262	0.350	0.381	0.281	0.505	0.601
13221	0.735	0.573	0.822	0.695	0.752	0.714	0.572	0.688	0.767	0.720
13222	0.681	0.502	0.822	0.645	0.654	0.665	0.547	0.631	0.718	0.683
13223	0.667	0.483	0.822	0.632	0.628	0.652	0.540	0.617	0.705	0.674
13224	0.520	0.342	0.632	0.608	0.415	0.469	0.434	0.404	0.583	0.612
13225	0.368	0.195	0.434	0.583	0.193	0.279	0.323	0.183	0.456	0.547
13231	0.723	0.551	0.800	0.679	0.735	0.696	0.558	0.663	0.755	0.707
13232	0.669	0.479	0.800	0.629	0.637	0.647	0.532	0.607	0.702	0.670
13233	0.655	0.461	0.800	0.616	0.611	0.634	0.526	0.592	0.689	0.661
13234	0.508	0.320	0.610	0.592	0.398	0.451	0.419	0.379	0.569	0.598
13235	0.356	0.173	0.412	0.567	0.176	0.261	0.309	0.158	0.444	0.534
13241	0.589	0.420	0.590	0.633	0.545	0.511	0.447	0.451	0.620	0.613
13242	0.535	0.349	0.590	0.583	0.446	0.462	0.422	0.394	0.575	0.576
13243	0.521	0.330	0.590	0.570	0.421	0.449	0.415	0.380	0.563	0.567
13244	0.374	0.223	0.463	0.546	0.253	0.323	0.336	0.219	0.466	0.504
13245	0.222	0.112	0.331	0.521	0.079	0.192	0.254	0.053	0.364	0.440
13251	0.389	0.224	0.274	0.565	0.258	0.233	0.282	0.131	0.418	0.472
13252	0.335	0.152	0.274	0.515	0.160	0.184	0.256	0.075	0.383	0.435
13253	0.321	0.134	0.274	0.502	0.134	0.171	0.250	0.060	0.374	0.426
13254	0.174	0.078	0.242	0.478	0.036	0.131	0.211	-0.021	0.311	0.363
13255	0.022	0.020	0.209	0.453	-0.067	0.089	0.172	-0.105	0.244	0.299
13311	0.775	0.632	0.912	0.750	0.815	0.771	0.618	0.779	0.814	0.765
13312	0.721	0.561	0.912	0.700	0.717	0.722	0.593	0.723	0.775	0.729
13313	0.707	0.542	0.912	0.687	0.691	0.709	0.586	0.708	0.765	0.719
13314	0.560	0.401	0.722	0.663	0.478	0.526	0.480	0.495	0.636	0.657
13315	0.408	0.254	0.524	0.638	0.256	0.336	0.369	0.274	0.503	0.592
13321	0.725	0.542	0.822	0.686	0.746	0.700	0.560	0.681	0.761	0.711
13322	0.671	0.471	0.822	0.636	0.648	0.651	0.535	0.624	0.709	0.675
13323	0.657	0.452	0.822	0.623	0.622	0.638	0.528	0.610	0.695	0.665
13324	0.511	0.311	0.632	0.599	0.409	0.455	0.422	0.397	0.575	0.603
13325	0.358	0.164	0.434	0.574	0.187	0.265	0.311	0.176	0.451	0.538
13331	0.713	0.520	0.800	0.670	0.729	0.682	0.546	0.656	0.748	0.698
13332	0.659	0.449	0.800	0.620	0.631	0.633	0.521	0.600	0.693	0.662
13333	0.645	0.430	0.800	0.607	0.605	0.620	0.514	0.585	0.678	0.652
13334	0.498	0.289	0.610	0.583	0.392	0.437	0.408	0.372	0.560	0.590
13335	0.346	0.142	0.412	0.558	0.170	0.247	0.297	0.151	0.438	0.525
13341	0.580	0.389	0.590	0.625	0.538	0.497	0.436	0.444	0.615	0.604
13342	0.526	0.318	0.590	0.575	0.440	0.448	0.410	0.387	0.567	0.568
13343	0.512	0.299	0.590	0.562	0.414	0.435	0.404	0.373	0.554	0.558
13344	0.365	0.192	0.463	0.537	0.247	0.309	0.325	0.212	0.459	0.496
13345	0.213	0.081	0.331	0.513	0.073	0.178	0.242	0.046	0.360	0.431
13351	0.379	0.193	0.274	0.556	0.252	0.219	0.270	0.124	0.416	0.463
13352	0.325	0.122	0.274	0.506	0.154	0.170	0.245	0.068	0.378	0.427
13353	0.311	0.103	0.274	0.493	0.128	0.157	0.238	0.053	0.368	0.417
